call_uid,sound.files,selec,call_type,call_quality,cluster_unsup,p_contact,contact_thresh_pass
A150_250406_0178__1,A150_250406_0178.wav,1,non-contact,medium,1,7.680753708968495e-32,FALSE
A150_250406_0178__2,A150_250406_0178.wav,2,contact-like,high,2,0.8981708951827408,TRUE
A150_250406_0178__3,A150_250406_0178.wav,3,contact-like,high,3,0.9623728563953895,TRUE
A150_250406_0178__4,A150_250406_0178.wav,4,contact-like,high,2,0.6126957204084394,FALSE
A150_250406_0178__5,A150_250406_0178.wav,5,contact-like,high,2,0.9657811724527566,TRUE
A150_250406_0178__6,A150_250406_0178.wav,6,contact-like,high,4,0.9903746848185164,TRUE
A150_250406_0178__7,A150_250406_0178.wav,7,contact-like,high,2,0.97402987684066,TRUE
A150_250406_0178__8,A150_250406_0178.wav,8,contact-like,high,6,0.2586774022708714,FALSE
A150_250406_0178__9,A150_250406_0178.wav,9,contact-like,high,6,0.0010280437521651808,FALSE
A150_250406_0178__10,A150_250406_0178.wav,10,contact-like,high,2,0.9749811756294777,TRUE
A150_250406_0178__11,A150_250406_0178.wav,11,contact-like,high,2,0.8365830685798232,TRUE
A150_250406_0178__12,A150_250406_0178.wav,12,contact-like,high,2,0.8371828295155543,TRUE
A150_250406_0178__13,A150_250406_0178.wav,13,contact-like,high,2,0.9739579204840608,TRUE
A150_250406_0178__14,A150_250406_0178.wav,14,contact-like,high,6,0.37453439564829805,FALSE
A150_250406_0178__15,A150_250406_0178.wav,15,contact-like,high,4,0.9827874712027004,TRUE
A150_250406_0178__16,A150_250406_0178.wav,16,contact-like,high,2,0.8443832491610216,TRUE
A150_250406_0178__17,A150_250406_0178.wav,17,contact-like,high,2,0.938698307393291,TRUE
A150_250406_0178__18,A150_250406_0178.wav,18,contact-like,high,2,0.963956816740109,TRUE
A150_250406_0178__19,A150_250406_0178.wav,19,contact-like,high,3,0.9235243166580477,TRUE
A150_250406_0178__20,A150_250406_0178.wav,20,contact-like,high,2,0.8745541884658005,TRUE
A150_250406_0178__21,A150_250406_0178.wav,21,contact-like,high,2,0.8778686205866925,TRUE
A150_250406_0178__22,A150_250406_0178.wav,22,contact-like,high,2,0.9240852247973909,TRUE
A150_250406_0178__23,A150_250406_0178.wav,23,contact-like,high,2,0.9353971061181591,TRUE
A150_250406_0178__24,A150_250406_0178.wav,24,contact-like,high,2,0.8206156674008163,TRUE
A150_250406_0178__25,A150_250406_0178.wav,25,contact-like,high,2,0.9348753068162445,TRUE
A150_250406_0178__26,A150_250406_0178.wav,26,contact-like,high,2,0.9369938347465682,TRUE
A150_250406_0178__27,A150_250406_0178.wav,27,contact-like,high,2,0.8331061672908171,TRUE
A150_250406_0178__28,A150_250406_0178.wav,28,contact-like,high,2,0.9140728191208953,TRUE
A150_250406_0178__29,A150_250406_0178.wav,29,contact-like,high,4,0.9882089541691346,TRUE
A150_250406_0178__30,A150_250406_0178.wav,30,contact-like,high,6,0.022272350818985803,FALSE
A150_250406_0178__31,A150_250406_0178.wav,31,contact-like,high,3,0.9848797996848443,TRUE
A150_250406_0178__32,A150_250406_0178.wav,32,contact-like,high,3,0.9630288665795249,TRUE
A150_250406_0178__33,A150_250406_0178.wav,33,contact-like,high,4,0.9937779323386237,TRUE
A150_250406_0178__34,A150_250406_0178.wav,34,contact-like,high,2,0.8561417228470415,TRUE
